Ticker,Company Name,Date,Price,Open,High,Low,Vol.,Change %
AGX,Argan Inc,2/18/2025,144.83,148.47,150.83,137.22,480.68K,-2.53%
AGX,Argan Inc,2/19/2025,144.56,143.78,145.35,141.32,192.60K,-0.19%
AGX,Argan Inc,2/20/2025,142.54,145.28,145.66,138.51,235.17K,-1.40%
AGX,Argan Inc,2/21/2025,133.63,144.85,145,132.11,342.94K,-6.25%
AGX,Argan Inc,2/24/2025,126.48,134,134.73,126,410.96K,-5.35%
AGX,Argan Inc,2/25/2025,125.57,126.3,126.86,119.2,484.53K,-0.72%
AGX,Argan Inc,2/26/2025,132.2,128.66,133.55,127.89,347.49K,5.28%
AGX,Argan Inc,2/27/2025,125.39,132.84,135.36,125,306.67K,-5.15%
AGX,Argan Inc,2/28/2025,130.37,124.32,130.38,122.7,288.67K,3.97%
AGX,Argan Inc,3/3/2025,121.61,132.48,134.44,120.17,409.60K,-6.72%
AGX,Argan Inc,3/4/2025,120.73,116.86,124.04,112.92,491.66K,-0.72%
AGX,Argan Inc,3/5/2025,125.56,121.59,126.6,117.85,257.64K,4.00%
AGX,Argan Inc,3/6/2025,116.28,120.89,120.89,114.7,274.31K,-7.39%
AGX,Argan Inc,3/7/2025,113.8,116.57,117.3,107.04,474.19K,-2.13%
AGX,Argan Inc,3/10/2025,104.05,108.98,110,101.02,602.98K,-8.57%
AGX,Argan Inc,3/11/2025,110.82,104.28,113.21,103.7,377.00K,6.51%
AGX,Argan Inc,3/12/2025,114.84,116.96,117.83,113.25,276.18K,3.63%
AGX,Argan Inc,3/13/2025,113.5,114.84,115.32,110.23,246.13K,-1.17%
AGX,Argan Inc,3/14/2025,120,116.5,121.06,115.23,227.75K,5.73%
AGX,Argan Inc,3/17/2025,121.03,118.96,122.69,118.96,202.64K,0.86%
AGX,Argan Inc,3/18/2025,117.49,119,119.06,115.01,200.25K,-2.92%
AGX,Argan Inc,3/19/2025,121.85,118.03,123.31,117.05,254.97K,3.71%
AGX,Argan Inc,3/20/2025,120.59,119.39,122.55,119.39,209.60K,-1.03%
AGX,Argan Inc,3/21/2025,120.6,117.81,121.11,117,360.30K,0.01%
AGX,Argan Inc,3/24/2025,129.25,123.92,129.36,123.89,273.97K,7.17%
AGX,Argan Inc,3/25/2025,127.14,128.84,129.36,125.06,376.52K,-1.63%
AGX,Argan Inc,3/26/2025,119.52,126.84,126.84,118.04,346.81K,-5.99%
AGX,Argan Inc,3/27/2025,115.23,118.01,119.57,113.92,434.15K,-3.59%
AGX,Argan Inc,3/28/2025,138.12,138.1,150.84,135,1.40M,19.86%
AGX,Argan Inc,3/31/2025,131.17,131.11,132,123.43,735.60K,-5.03%
AGX,Argan Inc,4/1/2025,134.43,131.76,136.12,127.05,427.16K,2.49%
AGX,Argan Inc,4/2/2025,138.02,130.95,141.38,129.27,315.02K,2.67%
AGX,Argan Inc,4/3/2025,128.75,127.24,133.15,125.15,402.43K,-6.72%
AGX,Argan Inc,4/4/2025,120.08,119.45,122.36,111.16,486.26K,-6.73%
AGX,Argan Inc,4/7/2025,124.23,115.29,135.63,113.83,644.20K,3.46%
AGX,Argan Inc,4/8/2025,127.48,131.22,136.09,124.32,529.79K,2.62%
AGX,Argan Inc,4/9/2025,141.98,127.27,149.01,127.06,774.52K,11.37%
AGX,Argan Inc,4/10/2025,138,135.43,142,133.66,436.57K,-2.80%
AGX,Argan Inc,4/11/2025,148.17,139.71,149.21,137.4,421.86K,7.37%
AGX,Argan Inc,4/14/2025,147.61,152.32,154.1,145,428.22K,-0.38%
AGX,Argan Inc,4/15/2025,145.87,147.8,150.69,143.83,300.95K,-1.18%
AGX,Argan Inc,4/16/2025,148.72,144,149.88,143.88,438.69K,1.95%
AGX,Argan Inc,4/17/2025,146,147.57,148.99,144.14,686.90K,-1.83%
AGX,Argan Inc,4/21/2025,129.91,145.04,145.97,126.07,608.37K,-11.02%
AGX,Argan Inc,4/22/2025,134.01,132.03,136.12,130.35,281.01K,3.16%
AGX,Argan Inc,4/23/2025,141.36,140.78,148,139.98,360.48K,5.48%
AGX,Argan Inc,4/24/2025,148.66,141.5,149.18,141.25,211.13K,5.16%
AGX,Argan Inc,4/25/2025,151.56,148.26,151.76,146.75,243.21K,1.95%
AGX,Argan Inc,4/28/2025,151.88,150.42,153.98,148.25,287.85K,0.21%
AGX,Argan Inc,4/29/2025,153.41,151.14,153.52,148.14,156.65K,1.01%
AGX,Argan Inc,4/30/2025,153.13,148.51,154.09,142.97,288.47K,-0.18%
AGX,Argan Inc,5/1/2025,158.8,157.79,162.93,155.65,376.27K,3.70%
AGX,Argan Inc,5/2/2025,163.77,161.37,168.65,160.27,397.38K,3.13%
AGX,Argan Inc,5/5/2025,165.38,158.99,167,157.88,265.71K,0.98%
AGX,Argan Inc,5/6/2025,169.47,163.09,171.51,162.1,329.79K,2.47%
AGX,Argan Inc,5/7/2025,167.9,166.79,169.32,164,335.75K,-0.93%
AGX,Argan Inc,5/8/2025,171.11,172.73,176,166,311.67K,1.91%
AGX,Argan Inc,5/9/2025,170.28,173.39,174.12,168.26,226.32K,-0.49%
AGX,Argan Inc,5/12/2025,170.61,179,179,169.79,292.52K,0.19%
AGX,Argan Inc,5/13/2025,175.52,171.59,179.16,171.59,275.00K,2.88%
AGX,Argan Inc,5/14/2025,179.14,178.01,181.1,177.01,350.21K,2.06%
AGX,Argan Inc,5/15/2025,183.32,176.97,187.38,176.97,343.80K,2.33%
AGX,Argan Inc,5/16/2025,188.5,183.75,188.99,180.63,432.62K,2.83%
AGX,Argan Inc,5/19/2025,188.98,185.04,188.99,183.36,282.28K,0.25%
AGX,Argan Inc,5/20/2025,189.7,189,191,187.42,267.83K,0.38%
AGX,Argan Inc,5/21/2025,193.13,188.47,197.63,188.47,501.58K,1.81%
AGX,Argan Inc,5/22/2025,196.97,191.46,199,184.35,415.57K,1.99%
AGX,Argan Inc,5/23/2025,203.26,193.4,205.57,193.26,369.19K,3.19%
AGX,Argan Inc,5/27/2025,210.52,206.08,211.06,202.86,469.50K,3.57%
AGX,Argan Inc,5/28/2025,209.69,209.59,214.75,206.5,456.09K,-0.39%
AGX,Argan Inc,5/29/2025,207.01,211.8,212.51,205,413.52K,-1.28%
AGX,Argan Inc,5/30/2025,210.3,205,211.76,201.32,467.14K,1.59%
AGX,Argan Inc,6/2/2025,209.96,209.13,211.26,202,410.46K,-0.16%
AGX,Argan Inc,6/3/2025,218.72,211,219,209.19,492.78K,4.17%
AGX,Argan Inc,6/4/2025,217.8,218.27,219.99,215,544.36K,-0.42%
AGX,Argan Inc,6/5/2025,235.25,229.83,243.52,220.77,1.03M,8.01%
AGX,Argan Inc,6/6/2025,243.11,238.23,246.6,233.27,583.38K,3.34%
AGX,Argan Inc,6/9/2025,217.97,243.48,245.91,216.21,1.04M,-10.34%
AGX,Argan Inc,6/10/2025,209.45,217.85,218.5,203.49,778.32K,-3.91%
AGX,Argan Inc,6/11/2025,224.31,212.6,224.36,207.27,714.32K,7.09%
AGX,Argan Inc,6/12/2025,222.12,221.73,225.03,218,406.67K,-0.98%
AGX,Argan Inc,6/13/2025,218.17,218.06,219,210.08,381.83K,-1.78%
AGX,Argan Inc,6/16/2025,218.59,223.07,228.75,217.91,459.19K,0.19%
AGX,Argan Inc,6/17/2025,212.82,217.18,219.07,209.11,394.16K,-2.64%
AGX,Argan Inc,6/18/2025,206.22,213,214,206.04,384.21K,-3.10%
AGX,Argan Inc,6/20/2025,203.36,206.25,206.98,193.82,877.52K,-1.39%
AGX,Argan Inc,6/23/2025,208.55,203,209.34,200,323.29K,2.55%
AGX,Argan Inc,6/24/2025,214.63,212.95,215.71,209.54,403.21K,2.92%
AGX,Argan Inc,6/25/2025,209.05,217,217.79,207.11,299.30K,-2.60%
AGX,Argan Inc,6/26/2025,215.68,212.25,216.35,207.51,388.14K,3.17%
AGX,Argan Inc,6/27/2025,219.74,215.26,222.66,211.66,628.54K,1.88%
AGX,Argan Inc,6/30/2025,220.48,221.63,223.5,214.53,453.36K,0.34%
AGX,Argan Inc,7/1/2025,203.78,216.14,217.48,200,542.52K,-7.57%
AGX,Argan Inc,7/2/2025,206.15,201.46,206.79,200.66,361.94K,1.16%
AGX,Argan Inc,7/3/2025,211.09,206.56,213.61,206.56,192.31K,2.40%
AGX,Argan Inc,7/7/2025,209.5,210,214,207.8,266.46K,-0.75%
AGX,Argan Inc,7/8/2025,202.53,209.62,209.75,199.2,302.81K,-3.33%
AGX,Argan Inc,7/9/2025,206.63,206.15,208.27,201.12,264.99K,2.02%
AGX,Argan Inc,7/10/2025,208.46,207.17,209.68,198.1,321.83K,0.89%
AGX,Argan Inc,7/11/2025,212.25,208,217.76,207.46,461.65K,1.82%
AGX,Argan Inc,7/14/2025,220.73,212.19,221.69,212.14,430.89K,4.00%
AGX,Argan Inc,7/15/2025,222.2,222.19,226.7,217.73,503.26K,0.67%
AGX,Argan Inc,7/16/2025,213.25,226.64,228.04,213.06,501.26K,-4.03%
AGX,Argan Inc,7/17/2025,203.84,212.79,214.18,201.11,724.59K,-4.41%
AGX,Argan Inc,7/18/2025,206.63,204.51,213.11,204.51,593.00K,1.37%
AGX,Argan Inc,7/21/2025,207.07,206.63,211.61,203,387.30K,0.21%
AGX,Argan Inc,7/22/2025,205.66,205,208.24,196.9,386.30K,-0.68%
AGX,Argan Inc,7/23/2025,216.2,207.76,221.6,206.3,539.06K,5.12%
AGX,Argan Inc,7/24/2025,224.37,217.4,225.52,215.48,329.82K,3.78%
AGX,Argan Inc,7/25/2025,235.91,228.25,239.89,226.61,528.46K,5.14%
AGX,Argan Inc,7/28/2025,236.89,238,239.03,230.09,444.05K,0.42%
AGX,Argan Inc,7/29/2025,238.15,241.5,246.44,233.52,599.52K,0.53%
AGX,Argan Inc,7/30/2025,240.5,240,243.34,232.93,446.27K,0.99%
AGX,Argan Inc,7/31/2025,244.98,242.77,253.79,240.1,599.25K,1.86%
AGX,Argan Inc,8/1/2025,225.27,236.5,236.5,215.69,869.45K,-8.05%
AGX,Argan Inc,8/4/2025,223.41,231.8,233.96,218.08,501.51K,-0.83%
AGX,Argan Inc,8/5/2025,233.13,224,233.3,223.51,347.75K,4.35%
AGX,Argan Inc,8/6/2025,229.9,229.56,231.6,220.25,311.29K,-1.39%
AGX,Argan Inc,8/7/2025,235,231.91,238.88,229.12,308.52K,2.22%
AGX,Argan Inc,8/8/2025,239.02,237,240.92,234.04,237.94K,1.71%
AGX,Argan Inc,8/11/2025,228.08,237.09,237.09,224.25,289.18K,-4.58%
AGX,Argan Inc,8/12/2025,239.05,232.16,239.75,228.93,242.18K,4.81%
AGX,Argan Inc,8/13/2025,229.52,240.23,244.12,220.51,383.20K,-3.99%
AGX,Argan Inc,8/14/2025,224.54,229,230.92,223.14,166.72K,-2.17%
AGX,Argan Inc,8/15/2025,223.99,225.24,225.24,215.88,320.44K,-0.24%
AGX,Argan Inc,8/18/2025,225.32,221,225.88,220,142.04K,0.59%
AGX,Argan Inc,8/19/2025,213.76,223.29,224.08,211.45,245.26K,-5.13%
AGX,Argan Inc,8/20/2025,215.89,212.35,215.95,203.55,294.79K,1.00%
AGX,Argan Inc,8/21/2025,218.29,216.19,219.21,215.18,142.79K,1.11%
AGX,Argan Inc,8/22/2025,222.16,219.81,227.74,218.32,259.01K,1.77%
AGX,Argan Inc,8/25/2025,226.88,222.1,228.66,220.9,196.87K,2.12%
AGX,Argan Inc,8/26/2025,230.02,226.88,230.52,225,243.41K,1.38%
AGX,Argan Inc,8/27/2025,226.87,229.56,229.98,224.14,165.94K,-1.37%
AGX,Argan Inc,8/28/2025,242.08,228.01,245.18,227.95,493.69K,6.70%
AGX,Argan Inc,8/29/2025,228.22,238.13,239.67,221.62,505.56K,-5.73%
AGX,Argan Inc,9/2/2025,224.09,220,225.9,212.72,375.39K,-1.81%
AGX,Argan Inc,9/3/2025,227.03,226.86,230.06,223.94,331.69K,1.31%
AGX,Argan Inc,9/4/2025,237.83,229.32,238.98,228.17,679.34K,4.76%
AGX,Argan Inc,9/5/2025,211.51,212.26,219.95,197,1.44M,-11.07%
AGX,Argan Inc,9/8/2025,203.84,211.01,213.18,202.95,644.98K,-3.63%
AGX,Argan Inc,9/9/2025,217.41,204,217.81,202.25,476.91K,6.66%
AGX,Argan Inc,9/10/2025,225.82,219.05,235.49,219.05,476.64K,3.87%
AGX,Argan Inc,9/11/2025,232.59,228.5,234,227.02,349.10K,3.00%
AGX,Argan Inc,9/12/2025,230.31,231.58,234.14,227.79,305.57K,-0.98%
AGX,Argan Inc,9/15/2025,238.75,234.07,245,233,396.86K,3.66%
AGX,Argan Inc,9/16/2025,238.22,238.85,241.03,234.34,211.03K,-0.22%
AGX,Argan Inc,9/17/2025,239.42,238.22,242.7,235.6,220.84K,0.50%
AGX,Argan Inc,9/18/2025,259.58,242,262,240.62,542.87K,8.42%
AGX,Argan Inc,9/19/2025,260.64,264.14,268,258.17,601.85K,0.41%
AGX,Argan Inc,9/22/2025,268.34,256.4,269.35,255,300.02K,2.95%
AGX,Argan Inc,9/23/2025,266.64,269.27,270.11,262,280.57K,-0.63%
AGX,Argan Inc,9/24/2025,260.56,266.09,268.91,258.31,220.02K,-2.28%
AGX,Argan Inc,9/25/2025,258.17,251.62,260.58,240.24,514.71K,-0.92%
AGX,Argan Inc,9/26/2025,266.73,260,266.9,260,281.35K,3.32%
